id,title,author,release_date
58238,Sämtliche Werke 1-2: Rodion Raskolnikoff (Schuld und Sühne),Fjodor Michailowitsch Dostojewski,2018
42142,A Young Inventorâs Pluck,Arthur M. Winfield,2013
55213,The Girl Scouts at Miss Allen's School,Edith Lavell,2017
57093,De Dochter van de Zeekapitein,D'Arbez,2018
35029,Half-Past Bedtime,H. H. Bashford,2011
42206,The Camp Fire Girls at the End of the Trail,Margaret Vandercook,2013
19371,The Forfeit,Ridgwell Cullum,2006
16408,The Grey Wig: Stories and Novelettes,Israel Zangwill,2005
60191,The Boy Fortune Hunters in Panama,Floyd Akers,2019
41453,The Mysterious Mr. Miller,William Le Queux,2012
54307,Tarzanin paluu,Edgar Rice Burroughs,2017
40502,The Brownies and Prince Florimel,Palmer Cox,2012
26380,Complete Story of the San Francisco Horror,Richard Linthicum,2008
28759,Neiti Klairon,Louise Mühlbach,2009
42212,AloisiÃ¦ SigeÃ¦ ToletanÃ¦ Satyra Sotadica de arcanis Amoris et,Nicolas Chorier,2013
38897,Baseball Joe on the School Nine,Lester Chadwick,2012
58002,Bertha's Visit to her Uncle in England; vol. 1,Jane Haldimand Marcet,2018
43067,In the Hands of the Cave-Dwellers,G. A. Henty,2013
44309,Escuela de Humorismo,Guillermo Díaz-Caneja,2013
2662,Under the Greenwood Tree,Thomas Hardy,2004
4294,Tales of Aztlan,George Hartmann,2003
32583,Tape Jockey,Tom Leahy,2010
27317,The Cheerful Smugglers,Ellis Parker Butler,2008
1261,Betty Zane,Zane Grey,2004
59648,The Jester,Leslie Moore,2019
41001,The Red Room,William Le Queux,2012
39490,A Lad of Grit,Percy F. Westerman,2014
4789,Black Caesar's Clan,Albert Payson Terhune,2003
1857,Initials Only,Anna Katharine Green,0
40902,Histoire amoureuse des Gaules suivie des Romans historico-satiriques du XVIIe siècle  (4/4),Roger de Bussy-Rabutin,2012
35790,A Fantasy of Far Japan,Baron Kencho Suyematsu,2011
5838,"Sketches New and Old, Part 3.",Mark Twain (Samuel Clemens),2004
53361,Patsy Carroll Under Southern Skies,Grace Gordon,2016
10988,The Devil's Admiral,Frederick Ferdinand Moore,2004
3715,The Parenticide Club,Ambrose Bierce,2003
10784,Sentence Deferred,W.W. Jacobs,2004
58711,Traced and Tracked,James McGovan,2019
32658,The Standardized Man,Stephen Bartholomew,2010
44643,The Funny Bone,Unknown,2014
45839,Dracula,Bram Stoker,2014
43268,Secrets of the Andes,James H. Foster,2013
59319,Adventures of Martin Hewitt,Arthur Morrison,2019
21960,Blue Bonnet's Ranch Party,C. E. Jacobs,2007
47257,Prinssi ja kerjäläispoika,Mark Twain,2014
31518,Trusia,Davis Brinton,2010
24140,The Northern Iron,George A. Birmingham,2008
31486,The Monkey's Frolic,Anonymous,2010
31524,The Price of the Prairie,Margaret Hill McCarter,2010
32847,The Door into Infinity,Edmond Hamilton,2010
9213,The Seven Vagabonds (From âTwice Told Talesâ),Nathaniel Hawthorne,2005
16244,The Turkish Jester,Nasreddin Hoca,2005
19714,With Frederick the Great,G. A. Henty,2006
31223,Infinite Intruder,Alan Edward Nourse,2010
47553,Bobby Blake on a Plantation,Frank A. Warner,2014
56156,Venus im Pelz,Leopold von Sacher-Masoch,2017
35964,The Go Ahead Boys and the Mysterious Old House,Ross Kay,2011
18088,Libro bizzarro,Antonio Ghislanzoni,2006
59297,Your Time is Up,Walt Sheldon,2019
35205,Who?,Elizabeth Kent,2011
30952,With Ethan Allen at Ticonderoga,W. Bert Foster,2010
12203,Blundell's Improvement,W.W. Jacobs,2004
50895,The Rat-Pit,Patrick MacGill,2016
41459,The Broken Thread,William Le Queux,2012
29153,Poppy's Presents,Mrs O. F. Walton,2009
32160,Chain of Command,Stephen Arr,2010
2424,Black Bartlemy's Treasure,Jeffrey Farnol,2000
42193,The Inca Emerald,Samuel Scoville,2013
31964,Brknk's Bounty,Gerald Allan Sohl,2010
56765,The Bashful Earthquake,Oliver Herford,2018
46892,The Eternal Boy,Owen Johnson,2014
50654,In the Wonderful Land of Hez,Cornelius Shea,2015
106,Jungle Tales of Tarzan,Edgar Rice Burroughs,2008
11534,The Lions of the Lord,Harry Leon Wilson,2004
31380,Bred of the Desert,Marcus Horton,2010
11185,Bob's Redemption,W.W. Jacobs,2004
37885,Kolme muskettisoturia,Alexandre Dumas,2011
56799,The Downfall,Ãmile Zola,2018
14654,A Daughter of the Snows,Jack London,2005
18563,Raw Gold,Bertrand W. Sinclair,2006
10560,The Last of the Foresters,John Esten Cooke,2004
172,The Haunted Bookshop,Christopher Morley,2008
46462,Recollections of a Policeman,William Russell (aka Thomas Waters),2014
32406,The City Curious,Jean de Bosschère,2010
49293,La maison des hommes vivants,Claude FarrÃ¨re,2015
47008,With the Allies to Pekin,George Alfred Henty,2014
55579,Sten Sture nuorempi ja Kristiina Gyllenstjerna II: Tuomio,Louise Stjernström,2017
905,Within the Law,Marvin Dana,1997
17362,Der Goldene Topf,E. T. A. Hoffmann,2005
20510,Ade's Fables,George Ade,2007
57948,Calvinin aikoina,D. Alcock,2018
14806,La Jangada,Jules Verne,2005
5744,The Fat and the Thin,Emile Zola,2006
36671,A House Party with the Tucker Twins,Nell Speed,2011
21854,The Woman in Black,Edmund Clerihew Bentley,2007
14376,Somewhere in Red Gap,Harry Leon Wilson,2004
7104,"Adventures of Huckleberry Finn, Part 5",Mark Twain (Samuel Clemens),2004
60477,Miss Peck's Adventures,Anonymous,2019
17615,In Search of the Okapi,Ernest Glanville,2006
50492,Historia de Gil Blas de Santillana (Vol 1 de 3),Alain-RenÃ©  Lesage,2015
22180,Prairie Flowers,James B. Hendryx,2007
5007,The Poisoned Pen,Arthur B. Reeve,2004
58240,Mahtran sota,Eduard Wilde,2018
1928,Unknown,Unknown,0
46592,Center Rush Rowland,Ralph Henry Barbour,2014
24801,El prisionero de Zenda,Anthony Hope,2008
54073,Frank Reade Jr.'s Submarine Boat,Luis Philip Senarens,2017
54409,New England Joke Lore,Arthur George Crandall,2017
54159,Busy Brownies,E. Veale,2017
32597,Accidental Flight,Floyd L. Wallace,2010
35637,The Secret Glory,Arthur Machen,2011
60248,The Messiah of the Cylinder,Victor Rousseau,2019
32754,One-Way Ticket to Nowhere,Leroy Yerxa,2010
